Data,Tipo,Turno,Ora Inizio,Luogo Inizio,Ora Fine,Luogo Fine
2025-06-30,N/D,,,,,
2025-07-01,Lavoro,FGc501,04:22,FG,10:52,FG
2025-07-02,Riposo,,,,,
2025-07-03,Lavoro,FGc523 (RFR),14:26,FG,10:38+,FG
2025-07-04,N/D,,,,,
2025-07-05,Lavoro,FGc630,14:11,FG,20:00,FG
2025-07-06,Lavoro,FGcRI2,07:15,FG,15:45,FG
2025-07-07,Lavoro,FGc517,17:07,FG,22:47,FG
2025-07-08,Riposo,,,,,
2025-07-09,Intervallo,,,,,
2025-07-10,Corso in trasferta,,,,,
2025-07-11,Corso in trasferta,,,,,
2025-07-12,Corso in trasferta,,,,,
2025-07-13,Intervallo,,,,,
2025-07-14,Riposo,,,,,
2025-07-15,Lavoro,FGc515,14:32,FG,22:47,FG
2025-07-16,Lavoro,FGc524 (RFR),14:47,FG,10:05+,FG
2025-07-17,N/D,,,,,
2025-07-18,Lavoro,FGc500,05:02,FG,12:28,FG
2025-07-19,Lavoro,FGc621,13:24,FG,21:03,FG
2025-07-20,Lavoro,FGc722,08:47,FG,16:36,FG
2025-07-21,Riposo,,,,,
2025-07-22,Lavoro,FGc514 (RFR),20:23,FG,14:13+,FG
2025-07-23,N/D,,,,,
2025-07-24,Lavoro,FGc500,05:02,FG,12:28,FG
2025-07-25,Lavoro,FGc520,04:22,FG,08:53,FG
2025-07-26,Intervallo,,,,,
2025-07-27,Riposo Weekend,,,,,
2025-07-28,Lavoro,FGc803,05:44,FG,14:13,FG
2025-07-29,Lavoro,FGc501,04:22,FG,10:52,FG
2025-07-30,Lavoro,FGc511,12:52,FG,20:43,FG
2025-07-31,Lavoro,FGc513 (RFR),14:13,FG,07:59+,FG
2025-08-01,N/D,,,,,
2025-08-02,Riposo Quantiqualitativo,,,,,
2025-08-03,IN MODIFICA,,,,,
